detector,model,threshold,mean_precision,mean_recall,mean_f1,score,token_ok_rate
mtcnn,GhostFaceNet,0.08,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.1,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.12,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.15,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.18,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.22,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.28,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.35,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.45,0.0,0.0,0.0,0.0,0.0
mtcnn,GhostFaceNet,0.55,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.08,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.1,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.12,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.15,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.18,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.22,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.28,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.35,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.45,0.0,0.0,0.0,0.0,0.0
retinaface,GhostFaceNet,0.55,0.0,0.0,0.0,0.0,0.0
mtcnn,Facenet512,0.08,0.0,0.0,0.0,0.0,0.0
mtcnn,Facenet512,0.1,0.0,0.0,0.0,0.0,0.0
mtcnn,Facenet512,0.12,0.0,0.0,0.0,0.0,0.0
mtcnn,Facenet512,0.15,0.0,0.0,0.0,0.0,0.0
mtcnn,Facenet512,0.18,0.0,0.0,0.0,0.0,0.0
mtcnn,Facenet512,0.22,0.0,0.0,0.0,0.0,0.0
mtcnn,Facenet512,0.28,0.13333333333333333,0.1,0.1111111111111111,0.11666666666666667,0.06666666666666667
mtcnn,Facenet512,0.35,0.2,0.13333333333333333,0.15555555555555553,0.16666666666666669,0.06666666666666667
mtcnn,Facenet512,0.45,0.3333333333333333,0.2,0.24444444444444444,0.26666666666666666,0.06666666666666667
mtcnn,Facenet512,0.55,0.36666666666666664,0.26666666666666666,0.3,0.31666666666666665,0.13333333333333333
retinaface,Facenet512,0.08,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.1,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.12,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.15,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.18,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.22,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.28,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.35,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.45,0.0,0.0,0.0,0.0,0.0
retinaface,Facenet512,0.55,0.0,0.0,0.0,0.0,0.0
mtcnn,ArcFace,0.08,0.06666666666666667,0.03333333333333333,0.04444444444444444,0.05,0.0
mtcnn,ArcFace,0.1,0.06666666666666667,0.03333333333333333,0.04444444444444444,0.05,0.0
mtcnn,ArcFace,0.12,0.06666666666666667,0.03333333333333333,0.04444444444444444,0.05,0.0
mtcnn,ArcFace,0.15,0.0,0.0,0.0,0.0,0.0
mtcnn,ArcFace,0.18,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
mtcnn,ArcFace,0.22,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
mtcnn,ArcFace,0.28,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
mtcnn,ArcFace,0.35,0.0,0.0,0.0,0.0,0.0
mtcnn,ArcFace,0.45,0.06666666666666667,0.03333333333333333,0.04444444444444444,0.05,0.0
mtcnn,ArcFace,0.55,0.06666666666666667,0.03333333333333333,0.04444444444444444,0.05,0.0
retinaface,ArcFace,0.08,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.1,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.12,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.15,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.18,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.22,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.28,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.35,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.45,0.0,0.0,0.0,0.0,0.0
retinaface,ArcFace,0.55,0.0,0.0,0.0,0.0,0.0
